Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C0402,129.325,-45.6,0.0,top
C2,100nf,C0402,129.3,-57.475,0.0,top
C3,100nf,C0402,129.2,-69.925,0.0,top
C4,100nf,C0402,129.2,-82.425,0.0,top
C5,100nf,C0402,161.35,-45.625,0.0,top
C6,100nf,C0402,161.35,-57.45,0.0,top
C7,100nf,C0402,161.45,-70.025,0.0,top
C8,100nf,C0402,161.45,-82.525,0.0,top
C9,100nf,C0402,193.3,-45.5,0.0,top
C10,100nf,C0402,193.3,-57.425,0.0,top
C11,100nf,C0402,193.3,-69.975,0.0,top
C12,100nf,C0402,193.3,-82.425,0.0,top
C13,100nf,C0402,146.75,-59.182,-90.0,top
C14,100nf,C0402,129.325392,-94.755941,0.0,top
C15,100nf,C0402,129.300392,-106.630941,0.0,top
C16,100nf,C0402,129.200392,-119.080941,0.0,top
C17,100nf,C0402,129.200392,-131.580941,0.0,top
C18,100nf,C0402,161.350392,-94.780941,0.0,top
C19,100nf,C0402,161.350392,-106.605941,0.0,top
C20,100nf,C0402,161.450392,-119.180941,0.0,top
C21,100nf,C0402,161.450392,-131.680941,0.0,top
C22,100nf,C0402,193.300392,-94.655941,0.0,top
C23,100nf,C0402,193.300392,-106.580941,0.0,top
C24,100nf,C0402,193.300392,-119.130941,0.0,top
C25,100nf,C0402,193.300392,-131.580941,0.0,top
C26,100nf,C0402,146.750392,-108.337941,-90.0,top
J1,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.8,-45.575,0.0,top
J2,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.8,-57.5,0.0,top
J4,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,114.99,-40.9,0.0,top
J5,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,120.07,-40.9,0.0,top
J6,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.75,-69.975,0.0,top
J7,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.8,-82.475,0.0,top
J8,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,137.0,-63.75,0.0,top
J9,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.775,-57.5,0.0,top
J10,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.8,-45.575,0.0,top
J11,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.775,-45.6,0.0,top
J12,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.775,-82.5,0.0,top
J13,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.775,-70.0,0.0,top
J14,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.725,-57.475,0.0,top
J15,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,154.75,-63.75,180.0,top
J16,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.8,-45.5,0.0,top
J17,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.8,-57.425,0.0,top
J18,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.7,-70.025,0.0,top
J19,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.65,-69.975,0.0,top
J20,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.8,-82.425,0.0,top
J21,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.65,-82.475,0.0,top
J22,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,206.7,-40.9,0.0,top
J24,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.875,-45.575,0.0,top
J25,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.85,-57.525,0.0,top
J26,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.95,-70.025,0.0,top
J27,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.925,-82.5,0.0,top
J29,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,197.8,-57.425,0.0,top
J30,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,197.75,-69.975,0.0,top
J31,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,197.775,-82.5,0.0,top
J32,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.775392,-94.755941,0.0,top
J33,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.725392,-106.630941,0.0,top
J34,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.650392,-119.130941,0.0,top
J35,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,133.650392,-131.630941,0.0,top
J36,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.875392,-94.730941,0.0,top
J37,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.850392,-106.680941,0.0,top
J38,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.950392,-119.180941,0.0,top
J40,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.800392,-94.730941,0.0,top
J41,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,165.925392,-131.655941,0.0,top
J43,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,197.800392,-106.580941,0.0,top
J44,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,197.750392,-119.130941,0.0,top
J45,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,197.775392,-131.655941,0.0,top
J46,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,206.690392,-136.605941,0.0,top
J47,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.800392,-106.655941,0.0,top
J49,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.750392,-119.130941,0.0,top
J50,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,156.800392,-131.630941,0.0,top
J51,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,125.15,-40.9,0.0,top
J52,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,137.000392,-112.905941,0.0,top
J53,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.775392,-106.655941,0.0,top
J54,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.800392,-94.730941,0.0,top
J55,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.775392,-131.655941,0.0,top
